period,period_end,top_theme,top_avg_rank,top_avg_5d_return,worst_theme,worst_avg_rank,worst_avg_5d_return
2023Q1,2023-03-31,ai_infrastructure,18.403225806451612,0.032216933476556214,managed_care,76.64516129032258,-0.004319804832007823
2023Q2,2023-06-30,mega_cap_platforms,19.129032258064516,0.01850120855792931,additive_manufacturing,67.5,0.0011164748215888793
2023Q3,2023-09-30,oil_exploration,13.968253968253968,0.01334606097699919,space_satellites,78.2063492063492,-0.01737617934194801
2023Q4,2023-12-31,creative_software,24.3015873015873,0.02191211730903816,rare_earth_critical_minerals,82.23809523809524,-0.004726050387919285
2024Q1,2024-03-31,obesity_glp1_health,13.78688524590164,0.04407296587622888,renewables_storage,82.29508196721312,-0.015448614630543879
2024Q2,2024-06-30,advanced_packaging,21.206349206349206,0.015725331679511137,additive_manufacturing,84.23809523809524,-0.04431326573553334
2024Q3,2024-09-30,networking_optical,18.96875,0.019906529156458883,additive_manufacturing,75.84375,-0.011465995422017278
2024Q4,2024-12-31,ai_apps,13.1875,0.04244785959401004,managed_care,76.640625,-0.014663671437276204
2025Q1,2025-03-31,gold,12.666666666666666,0.01942842371616371,crypto_infrastructure,78.56666666666666,-0.027312818844172245
2025Q2,2025-06-30,cloud,21.806451612903224,0.020551838318136485,lithium_battery_materials,78.98387096774194,0.00021308797936711094
2025Q3,2025-09-30,networking_optical,16.5625,0.02964308233044952,additive_manufacturing,79.609375,0.0044523541657154175
2025Q4,2025-12-31,advanced_packaging,19.140625,0.023256345023463108,china_internet,73.59375,-0.0099486536542837
2026Q1,2026-03-31,oil_services,9.540983606557377,0.03497714622997403,dev_tools,75.54098360655738,-0.031256743438835166
2026Q2,2026-06-30,networking,4.722222222222222,0.057866527885087074,medtech_devices,79.52777777777777,-0.013111695095781192
