timestamp,open,high,low,close,volume,symbol
2026-01-02 14:30:00+00:00,600.0,600.0,600.0,600.0,1000,SPY
2026-01-02 14:31:00+00:00,600.1,600.2,600.05,600.15,1001,SPY
2026-01-02 14:32:00+00:00,600.2,600.4,600.1,600.3,1002,SPY
2026-01-02 14:33:00+00:00,600.3,600.6,600.15,600.45,1003,SPY
2026-01-02 14:34:00+00:00,600.4,600.8,600.2,600.6,1004,SPY
2026-01-02 14:35:00+00:00,600.5,601.0,600.25,600.75,1005,SPY
2026-01-02 14:36:00+00:00,600.6,601.2,600.3,600.9,1006,SPY
2026-01-02 14:37:00+00:00,600.7,601.4,600.35,601.05,1007,SPY
2026-01-02 14:38:00+00:00,600.8,601.6,600.4,601.2,1008,SPY
2026-01-02 14:39:00+00:00,600.9,601.8,600.45,601.35,1009,SPY
2026-01-02 14:40:00+00:00,601.0,602.0,600.5,601.5,1010,SPY
2026-01-02 14:41:00+00:00,601.1,602.2,600.55,601.65,1011,SPY
2026-01-02 14:42:00+00:00,601.2,602.4,600.6,601.8,1012,SPY
2026-01-02 14:43:00+00:00,601.3,602.6,600.65,601.95,1013,SPY
2026-01-02 14:44:00+00:00,601.4,602.8,600.7,602.1,1014,SPY
2026-01-02 14:45:00+00:00,601.5,603.0,600.75,602.25,1015,SPY
2026-01-02 14:46:00+00:00,601.6,603.2,600.8,602.4,1016,SPY
2026-01-02 14:47:00+00:00,601.7,603.4,600.85,602.55,1017,SPY
2026-01-02 14:48:00+00:00,601.8,603.6,600.9,602.7,1018,SPY
2026-01-02 14:49:00+00:00,601.9,603.8,600.95,602.85,1019,SPY
2026-01-02 14:50:00+00:00,602.0,604.0,601.0,603.0,1020,SPY
2026-01-02 14:51:00+00:00,602.1,604.2,601.05,603.15,1021,SPY
2026-01-02 14:52:00+00:00,602.2,604.4,601.1,603.3,1022,SPY
2026-01-02 14:53:00+00:00,602.3,604.6,601.15,603.45,1023,SPY
2026-01-02 14:54:00+00:00,602.4,604.8,601.2,603.6,1024,SPY
2026-01-02 14:55:00+00:00,602.5,605.0,601.25,603.75,1025,SPY
2026-01-02 14:56:00+00:00,602.6,605.2,601.3,603.9,1026,SPY
2026-01-02 14:57:00+00:00,602.7,605.4,601.35,604.05,1027,SPY
2026-01-02 14:58:00+00:00,602.8,605.6,601.4,604.2,1028,SPY
2026-01-02 14:59:00+00:00,602.9,605.8,601.45,604.35,1029,SPY
2026-01-02 15:00:00+00:00,603.0,606.0,601.5,604.5,1030,SPY
2026-01-02 15:01:00+00:00,603.1,606.2,601.55,604.65,1031,SPY
2026-01-02 15:02:00+00:00,603.2,606.4,601.6,604.8,1032,SPY
2026-01-02 15:03:00+00:00,603.3,606.6,601.65,604.95,1033,SPY
2026-01-02 15:04:00+00:00,603.4,606.8,601.7,605.1,1034,SPY
2026-01-02 15:05:00+00:00,603.5,607.0,601.75,605.25,1035,SPY
2026-01-02 15:06:00+00:00,603.6,607.2,601.8,605.4,1036,SPY
2026-01-02 15:07:00+00:00,603.7,607.4,601.85,605.55,1037,SPY
2026-01-02 15:08:00+00:00,603.8,607.6,601.9,605.7,1038,SPY
2026-01-02 15:09:00+00:00,603.9,607.8,601.95,605.85,1039,SPY
