theme,theme_return_5d,theme_vs_spy_5d,theme_num_constituents,entropy_score,is_tradable,is_watchlist_only
cybersecurity,0.08947284687129609,0.09675730405552085,16,2.050286351664039,True,False
quantum_computing,0.08543286019080298,0.09271731737502775,7,1.5972306220264247,True,False
obesity_glp1_health,0.07489056753891155,0.08217502472313631,4,0.7632356292932586,True,False
renewables_storage,0.07272549203089428,0.08000994921511904,19,1.9895468486618837,True,False
diagnostics_tools,0.07187187413317249,0.07915633131739726,10,1.9260886744726817,True,False
solar,0.06856086114391795,0.07584531832814272,6,1.1070007533181427,True,False
dev_tools,0.05519863439733996,0.06248309158156473,6,1.5578391951433848,True,False
hardware_devices,0.05440535078776154,0.06168980797198631,1,-0.0,False,True
medtech,0.05114193363711153,0.0584263908213363,8,1.6487148095203394,True,False
medtech_devices,0.04896950673179414,0.05625396391601891,18,1.8730679488478337,True,False
workflow_software,0.04774080849888668,0.055025265683111446,6,1.359463808113122,True,False
restaurants_food,0.04282395041350646,0.050108407597731226,16,1.9552484099094531,True,False
cloud,0.04113662255788394,0.04842107974210871,6,1.6606413144125924,True,False
datacenter_reits_towers,0.03271170857613348,0.03999616576035825,6,1.2859162817020824,True,False
ai_infrastructure,0.03185368169433328,0.03913813887855805,6,0.9051554222288993,True,False
enterprise_software,0.03116769961810321,0.03845215680232798,46,1.6490180960775038,False,True
insurance,0.0276952687903476,0.03497972597457237,6,1.4020196245444683,True,False
ai_apps_agents,0.024695318456585253,0.03197977564081002,20,2.4150345935142417,True,False
oil_integrated,0.02363514176675252,0.03091959895097729,6,1.060108849305507,True,False
energy,0.02216447322557276,0.029448930409797527,27,2.1921881560100687,True,False
biotech_innovation,0.02177098081443353,0.0290554379986583,23,2.5876483129752375,True,False
networking,0.02123428999191181,0.028518747176136578,6,1.395686401203057,True,False
apparel_beauty_lifestyle,0.020831127016874756,0.028115584201099525,19,2.341559487434879,True,False
retail_consumer,0.02047739956796731,0.027761856752192077,21,1.4072674701282837,True,False
storage,0.020339400074040573,0.02762385725826534,8,0.6474327808276417,True,False
regional_banks,0.02021288972608423,0.027497346910308997,7,1.7204455394934344,True,False
airlines_travel,0.019944022398093248,0.027228479582318017,21,2.1854831244165247,True,False
digital_ads_media,0.019156570893380697,0.026441028077605466,15,0.7200149493863861,True,False
vertical_software,0.018510323860413475,0.025794781044638244,6,1.5030016577428253,True,False
creative_software,0.01788508656813635,0.025169543752361117,6,1.3112016417502317,True,False
restaurants,0.01767657113585181,0.02496102832007658,7,1.159644560186293,True,False
